"What is the main cause of global warming?","Excess greenhouse gases","Solar flares","Volcanic eruptions","Ocean currents"
"Which gas contributes most to the greenhouse effect?","Carbon dioxide","Oxygen","Nitrogen","Hydrogen"
"Deforestation mainly increases the amount of what in the atmosphere?","Carbon dioxide","Ozone","Methane","Nitrous oxide"
"The 'Tragedy of the Commons' describes what situation?","Overuse of shared resources","Economic inequality","Pollution control","Sustainable farming"
"Who introduced the concept of the 'Tragedy of the Commons'?","Garrett Hardin","Rachel Carson","Al Gore","Gro Harlem Brundtland"
"What is the main idea of 'Limits to Growth'?","Earth’s resources are finite","Economic growth is infinite","Technology solves all problems","Population always stabilizes"
"Which organization published 'Limits to Growth'?","Club of Rome","UNESCO","World Bank","Greenpeace"
"The 1972 Stockholm Conference was the first UN conference about?","The human environment","Climate change","Nuclear disarmament","Poverty reduction"
"The Brundtland Report (1987) introduced which key concept?","Sustainable Development","Green Revolution","Circular Economy","Carbon Neutrality"
"Sustainable development balances what three aspects?","Environment, Economy and Society","Health, Politics and Culture","Energy, Water and Food","Trade, Defense and Tourism"
"Which SDG focuses on climate action?","Goal 13","Goal 7","Goal 10","Goal 17"
"Which SDG focuses on clean water and sanitation?","Goal 6","Goal 4","Goal 9","Goal 14"
"The Paris Agreement (2015) aims to limit global temperature rise to?","1.5 degrees Celsius","3 degrees Celsius","2.5 degrees Celsius","4 degrees Celsius"
"What does SDG 15 aim to protect?","Life on Land","Life Below Water","Clean Energy","Responsible Consumption"
"Which SDG targets renewable energy expansion?","SDG 7","SDG 5","SDG 11","SDG 3"
"The UN’s Agenda 2030 contains how many SDGs?","17","10","20","25"
"What was the main environmental issue discussed in 'Limits to Growth'?","Overpopulation and resource depletion","Nuclear waste","Urban pollution","Agricultural runoff"
"Which scientist authored 'The Tragedy of the Commons'?","Garrett Hardin","Paul Ehrlich","Gro Brundtland","Rachel Carson"
"Which SDG deals with reducing inequality within and among countries?","SDG 10","SDG 8","SDG 1","SDG 5"
"Which SDG focuses on responsible consumption and production?","SDG 12","SDG 13","SDG 9","SDG 6"
"What does SDG 17 emphasize?","Partnerships for the Goals","Peace and Justice","Climate Action","Industry and Innovation"
"Which international agreement succeeded the Kyoto Protocol?","Paris Agreement","Montreal Protocol","Doha Amendment","Stockholm Declaration"
"What is the primary greenhouse gas emitted by agriculture?","Methane","Oxygen","Carbon Monoxide","Nitrogen"
"Which term refers to the total amount of carbon emitted directly or indirectly by an individual or organization?","Carbon Footprint","Carbon Cycle","Carbon Tax","Carbon Sequestration"
"What does the term 'sustainable' mean?","Able to meet present needs without compromising future generations","Dependent on fossil fuels","Expanding industrial output","Rapid growth"
"Which report first defined sustainable development?","Brundtland Report","Stockholm Declaration","Agenda 21","Paris Agreement"
"What was the main outcome of the Rio Earth Summit (1992)?","Agenda 21","Paris Agreement","Kyoto Protocol","Green New Deal"
"Which concept explains why individuals tend to overuse shared resources?","Tragedy of the Commons","Circular Economy","Carbon Neutrality","Sustainable Finance"
"Which gas is most responsible for ozone layer depletion?","Chlorofluorocarbons (CFCs)","Carbon Dioxide","Methane","Nitrous Oxide"
"The Montreal Protocol (1987) focused on reducing?","Ozone-depleting substances","Greenhouse gases","Nuclear waste","Oil spills"
