question,correct_answer,choice1,choice2,choice3
"Which process involves defining roles, responsibilities, and reporting relationships?","Plan Human Resource Management","Acquire Project Team","Develop Project Team","Manage Project Team"
"Which chart type shows who is responsible, accountable, consulted, and informed?","RACI Chart","PERT Chart","Gantt Chart","Critical Path"
"Which theory divides needs into a hierarchy with self-actualization at the top?","Maslow's Hierarchy of Needs","Herzberg’s Two-Factor Theory","McGregor’s Theory X and Y","Expectancy Theory"
"In Herzberg’s theory, which of the following is a hygiene factor?","Salary","Achievement","Recognition","Responsibility"
"Which HRM process focuses on improving team skills and interaction?","Develop Project Team","Acquire Project Team","Manage Project Team","Plan HRM"
"What is the best conflict resolution technique for win-win outcomes?","Collaborating","Compromising","Forcing","Withdrawing"
"Which organizational chart is best for showing project reporting relationships?","Hierarchical Chart","Fishbone Diagram","Pareto Chart","Scatter Plot"
"Which tool is often used for assigning resources to activities?","Responsibility Assignment Matrix","Ishikawa Diagram","Pareto Chart","Histogram"
"McGregor’s Theory X assumes workers are?","Lazy and need control","Self-motivated","Creative and innovative","Always collaborative"
"McGregor’s Theory Y assumes workers are?","Self-motivated and responsible","Lazy and avoid responsibility","Fear-driven","Only extrinsically motivated"
"Which process identifies the information needs of stakeholders?","Plan Communications Management","Manage Communications","Control Communications","Develop Project Charter"
"Which communication method allows multi-directional information exchange?","Interactive Communication","Push Communication","Pull Communication","Linear Communication"
"Sending an email update to all stakeholders is an example of?","Push Communication","Pull Communication","Interactive Communication","Vertical Communication"
"Which method requires stakeholders to access information themselves?","Pull Communication","Push Communication","Interactive Communication","Feedback Loop"
"Which process ensures that communication needs are being met?","Control Communications","Plan Communications","Manage Communications","Plan Stakeholder Engagement"
"Noise in communication refers to?","Any factor that distorts the message","Technical failure only","Background sounds only","Cultural barriers only"
"Which tool is commonly used to determine communication requirements?","Stakeholder Analysis","Fishbone Diagram","Work Breakdown Structure","PERT Chart"
"Which plan documents how project information will be communicated?","Communications Management Plan","Risk Management Plan","Procurement Plan","Stakeholder Register"
"Which method is most effective for urgent conflict resolution?","Interactive Communication","Push Communication","Pull Communication","Written Reports"
"Formal written communication is most suitable for?","Legal contracts and agreements","Daily task updates","Quick clarifications","Casual discussions"
"A RACI chart is used to define project team responsibilities.","True"
"Conflict resolution by forcing usually results in long-term team harmony.","False"
"Maslow’s hierarchy of needs ends with self-actualization.","True"
"Acquire Project Team occurs before Plan Human Resource Management.","False"
"Motivation is irrelevant to project success.","False"
"Push communication requires recipients to retrieve the information themselves.","False"
"Control Communications ensures stakeholder information needs are met.","True"
"Interactive communication allows multidirectional exchange of information.","True"
"Noise in communication can include cultural and language barriers.","True"
"The main output of Plan Communications Management is the Communications Management Plan.","True"
"Which HRM process ensures monitoring of performance and handling issues?","Manage Project Team","Develop Project Team","Acquire Project Team","Plan HRM"
"Which conflict resolution technique seeks partial satisfaction for both parties?","Compromising","Collaborating","Forcing","Withdrawing"
"According to Maslow, which need is at the base of the hierarchy?","Physiological","Safety","Love/belonging","Esteem"
"Which is an example of a motivator in Herzberg’s theory?","Achievement","Salary","Working conditions","Job security"
"Which HRM tool combines WBS and organizational structures?","Responsibility Assignment Matrix","Pareto Chart","Histogram","PERT Chart"
